99,1,"Fais attention, Pan. À force de faire de mauvaises actions, les gens vont finir par t'en vouloir.",
99,1,"Be careful, Pan. By doing bad things constantly, people are going to get mad at you.",
80,1,"Tu sais que ça va mal finir, si tu continues comme ça ?",
80,1,Do you know that it's going to end bad if you keep doing it ?,
70,1,"Si tout le monde t'en veut, tu ne pourras t'en prendre qu'à toi-même.",
70,1,"If everybody's mad at you, you'll be the only one to blame.",
60,1,Ils commencent à te détester. Et c'est de ta faute.,
60,1,They are starting to hate you. And it's all your fault.,
50,1,"À mon avis, t'es pas loin de leur limite. Arrête ça maintenant.",
50,1,"In my opinion, you're reaching their limit. Stop it now.",
40,1,"J'te l'avais dit ! Je le savais ! T'écoutes rien, tu fais n'importe quoi ! ","Maintenant, plus personne ne veut te parler. Tu sais quoi ? T'as gagné. Je me tire."
40,1,"I told you! I knew it! You don't listen to me, you're doing every wrong thing you can. ","Now, nobody wants to talk to you anymore. You know what? You won. I'm out."
30,1,"Bon. En fait, là je dois venir t'aider. Comme tu as déjà ligué le chaman et le troubadour contre toi, ",les devs m'envoient pour que tu puisses avoir quand même cette clé. Me demande pas pourquoi.
30,1,"Well. In fact, i'm coming to help you. As you already turned the shaman and the troubadour against you, ",the devs are sending me so you can still get that key. Don't ask me why.